geonameid,name,asciiname,alternatenames,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date,tz_offset_min,metro_tier,slug,bbox_wkt
745044,Istanbul,Istanbul,"Bizanc,Bizánc,Byzance,Byzantion,Byzantium,Byzanz,Carigrad,Constantinoble,Constantinopla,Constantinople,Constantinopolen,Constantinopoli,Constantinopolis,Costantinopoli,Estambul,IST,Istamboul,Istambul,Istambuł,Istampoul,Istanbul,Istanbúl,Isztambul,Konstantinapoly,Konstantinopel,Konstantinopol,Konstantinopolo,Konstantinoupoli,Konstantinoupolis,Konstantinápoly,Kustantiniyah,Micklagard,Micklagård,Mikligardur,Mikligarður,Stamboul,Stambul,Stambula,Stambuł,Tsarigrad,Vizantija (Vizantija),Vyzantio,astnbwl,bijantium,byuzantion,byzntywn,iseutanbul,istambula,isutanburu,stin Poli [stimˈboli],yi si tan bao,yi si tan bu er,İstanbul,Βυζάντιο,Βυζαντιο,Ισταμπουλ,Ισταμπούλ,Κωνσταντινουπολη,Κωνσταντινούπολη,Κωνσταντινούπολις,στην Πόλι [stimˈboli],Византија (Vizantija),Истанбул,Стамбул,ביזנטיון,اسطنبول,इस्तांबुल,ইস্তাম্বুল,イスタンブール,ビュザンティオン,伊斯坦堡,伊斯坦布尔,비잔티움,이스탄불",41.01384,28.94966,P,PPLA,TR,,34,,,,15701602,,39,Europe/Istanbul,2025-04-18,180,1,istanbul-tr,"POLYGON((28.6520290002311 40.78861477477478, 29.247290999768904 40.78861477477478, 29.247290999768904 41.239065225225225, 28.6520290002311 41.239065225225225, 28.6520290002311 40.78861477477478))"
3448439,São Paulo,Sao Paulo,"SAO,Sampa,San Paolo,San Paul ed Brasil,San Paulas,San Paulo,San Paulu,San Paulu du Brasili,San Paulu dû Brasili,San Pauluw,San Pawlo,San Polo del Braxil,San Poulo,San Poło del Braxil,San Pàul ëd Brasil,San-Paulo,San-Paulu,San-Paŭlo,Sanpaulu,Sao Paolo,Sao Paulo,Sao Paulo capital,Saun Paulu,Sawo Palo,Sawo Pålo,São Paolo,São Paulo,São Paulo capital,Urbs Paulistana,cavo pavulo,sa'o pa'ulo,sa'o paulo,samu pa'ulu,sangpaollo,sangpaollu,sangpaullo,sangpaullu,sankt. paulos,sanpauro,savea pealea,savo palo,saw bawlw,saw palw,saw pwlw,saywpaywlw,sea pea lu,sheng bao luo,Σάο Πάολο,Сан Пауло,Сан Паулу,Сан-Паулу,Сан-Паўлу,Сао Паоло,Сао Пауло,Սան Պաուլու,סאו פאולא,סאו פאולו,ساؤ پالو,ساؤ پولو,سائوپائولو,ساو باولو,ܣܐܘ ܦܐܘܠܘ,ސައޮ ޕައުލޯ,साओ पाउलो,সাঁউ পাউলু,সাও পাউলো,சாவோ பாவுலோ,శఒ పౌలొ,ಸಾವೊ ಪಾಲೊ,സാവോ പോളോ,เซาเปาลู,ဆောပိုလိုမြို့,სან-პაულუ,ሳው ፓውሉ,サンパウロ,圣保罗,聖保羅,상파올로,상파올루,상파울로,상파울루",-23.5475,-46.63611,P,PPLA,BR,,27,,,,12400232,,769,America/Sao_Paulo,2025-04-07,-180,1,sao-paulo-br,"POLYGON((-46.88108724924749 -23.772725225225226, -46.39113275075251 -23.772725225225226, -46.39113275075251 -23.322274774774773, -46.88108724924749 -23.322274774774773, -46.88108724924749 -23.772725225225226))"
3530597,Mexico City,Mexico City,"Cdmx,Cidade de Mexico,Cidade de México,Cidade do Mexico,Cidade do México,Cita du Messicu,Citta del Messico,Città del Messico,Cità dû Messicu,Cità dû Mèssicu,Ciudad Mexico,Ciudad de Mejico,Ciudad de Mexico,Ciudad de Méjico,Ciudad de México,Ciutat de Mexic,Ciutat de Mèxic,Grad Mexico,Lungsod ng Mexico,Lungsod ng México,MEX,Mehiko,Mekhiko,Meksikas,Meksiko,Meksiko Siti,Meksikurbo,Meksyk,Mexico,Mexico City,Mexico D.F.,Mexico DF,Mexico Distrito Federal,Mexico by,Mexico-stad,Mexicopolis,Mexiko,Mexiko Hiria,Mexiko-Stadt,Mexikoborg,Mexíkóborg,México,México Distrito Federal,Nkoyo,Pole tou Mexikou,Valle de Mexico,Valle de México,mdynt mksykw,megsiko si,megsikositi,mekishikoshiti,meksiko,meksiko siti,meksikositi,mkzykw,mkzykwsyty,mo xi ge cheng,mqsyqw syty,Πόλη του Μεξικού,Мексико,Мексико Сити,Мехико,Мехіко,מקסיקו סיטי,مدينة مكسيكو,مکزیکو,مکزیکوسیتی,مېكسىكا شەھىرى,मेक्सिको सिटी,মেক্সিকো,เม็กซิโกซิตี,მეხიკო,メキシコシティ,墨西哥城,멕시코 시,멕시코시티",19.42847,-99.12766,P,PPLC,MX,,09,,,,12294193,,2240,America/Mexico_City,2024-03-26,-360,1,mexico-city-mx,"POLYGON((-99.36579796677181 19.203244774774774, -98.8895220332282 19.203244774774774, -98.8895220332282 19.653695225225228, -99.36579796677181 19.653695225225228, -99.36579796677181 19.203244774774774))"
524901,Moscow,Moscow,"MOW,Maeskuy,Maskav,Maskava,Maskva,Mat-xco-va,Matxcova,Matxcơva,Mosca,Moscfa,Moscha,Mosco,Moscou,Moscova,Moscovo,Moscow,Moscoƿ,Moscu,Moscua,Moscòu,Moscó,Moscù,Moscú,Moskva,Moska,Moskau,Mosko,Moskokh,Moskou,Moskov,Moskova,Moskovu,Moskow,Moskowa,Mosku,Moskuas,Moskva,Moskvo,Moskwa,Moszkva,Muskav,Musko,Mát-xcơ-va,Mòskwa,Məskeu,Məskəү,masko,maskw,mo si ke,moseukeuba,mosko,mosukuwa,mskw,mwskva,mwskw,mwsqbh,mx s ko,Μόσχα,Мæскуы,Маскав,Масква,Москва,Москова,Москох,Москъва,Мускав,Муско,Мәскеу,Мәскәү,Մոսկվա,מאָסקװע,מאסקווע,מוסקבה,ماسکو,مسکو,موسكو,موسكۋا,ܡܘܣܩܒܐ,मास्को,मॉस्को,মস্কো,மாஸ்கோ,มอสโก,མོ་སི་ཁོ།,მოსკოვი,ሞስኮ,モスクワ,莫斯科,모스크바",55.75222,37.61556,P,PPLC,RU,,48,,,,10381222,,144,Europe/Moscow,2024-12-05,180,1,moscow-ru,"POLYGON((37.216504193013655 55.52699477477478, 38.01461580698635 55.52699477477478, 38.01461580698635 55.977445225225225, 37.216504193013655 55.977445225225225, 37.216504193013655 55.52699477477478))"
2643743,London,London,"ILondon,LON,Lakana,Landan,Landen,Ljondan,Llundain,Lodoni,Londain,Londan,Londar,Londe,Londen,Londin,Londinium,Londino,Londn,London,London osh,Londona,Londonas,Londoni,Londono,Londons,Londonu,Londra,Londres,Londrez,Londri,Londro,Londye,Londyn,Londýn,Lonn,Lontoo,Loundres,Luan GJon,Lun-tun,Lunden,Lundra,Lundun,Lundunir,Lundúnir,Lung-dung,Lunnainn,Lunnin,Lunnon,Luân Đôn,Lùn-tûn,Lùng-dŭng,Lûn-tun,Lākana,Lůndůn,Lọndọnu,Ranana,Rānana,ilantan,ladana,landan,landana,leondeon,lndn,london,londoni,lun dui,lun dun,lwndwn,lxndxn,rondon,Łondra,Λονδίνο,Лондан,Лондон,Лондон ош,Лондонъ,Лёндан,Լոնդոն,לאנדאן,לונדון,لأندأن,لندن,لوندون,لەندەن,ܠܘܢܕܘܢ,लंडन,लंदन,लण्डन,लन्डन्,लन्दन,লন্ডন,ਲੰਡਨ,લંડન,ଲଣ୍ଡନ,இலண்டன்,లండన్,ಲಂಡನ್,ലണ്ടൻ,ලන්ඩන්,ลอนดอน,ລອນດອນ,ལོན་ཊོན།,လန်ဒန်မြို့,ლონდონი,ለንደን,ᎫᎴ ᏗᏍᎪᏂᎯᏱ,ロンドン,伦敦,倫敦,런던",51.50853,-0.12574,P,PPLC,GB,,ENG,GLA,,,8961989,,25,Europe/London,2022-03-09,60,2,london-gb,"POLYGON((-0.48656659532179924 51.28330477477478, 0.23508659532179924 51.28330477477478, 0.23508659532179924 51.733755225225224, -0.48656659532179924 51.733755225225224, -0.48656659532179924 51.28330477477478))"
5128581,New York City,New York City,"Aebura,Bandar Raya New York,Big Apple,Cathair Nua-Eabhrac,City of New York,Eabhraig Nuadh,Efrog Newydd,Evrek Nowydh,Ga-no-no,Kanon:no,Kanono,Kanón:no,Kota New York,Lungsod ng New York,N'ju-Jork,NY,NYC,Nea Yorke,Nei Yarrick Schtadt,Neu Amsterdam,Neu Jorck,New Amsterdam,New Orange,New Yorc,New York,New York City,New York Stad,New York borg,New York kenti,New York-borg,New Yorke,New Yorku,Niujorkas,Niw Eorkʻ,Nju Jork,Njujork,Nouvelle Yorck,Nouvieau York,Nov-Jorko,Nova Amsterda,Nova Iorque,Nova York,Nova-York,Novjorko,Novum Eboracum,Nowy Jork,Nua-Eabhrac,Nueva York,Nujorka,Nyja Jorvik,Nyu York Shehiri,Nyu Yorkʻ,Nòva York,Nýja Jórvík,Thanh pho New York,The Big Apple,Thành phố New York,York Berri,manhattan,n'yuyorka,ni'u iyarka siti,niu yue,niu yue shi,niyuyark nakaram,nkhr niwyxrk,nyuyog,nyuyog si,nyuyoku,nyw ywrq,nywywrk,Ņujorka,Νέα Υόρκη,Њу Јорк,Њујорк,Нью-Ёрк,Нью-Йорк,Ню Йорк,Նիւ Եորք,Նյու Յորք,ניו יארק,ניו יורק,ניו־יאָרק,نيويورك,نیویارک شہر,نیویورک,न्यूयॉर्क,নিউ ইয়র্ক সিটি,நியூயார்க் நகரம்,นครนิวยอร์ก,ნიუ-იორკი,ニューヨーク,マンハッタン,紐約,紐約市,뉴욕,뉴욕 시",40.71427,-74.00597,P,PPL,US,,NY,,,,8804190,10.0,57,America/New_York,2024-12-07,-240,2,new-york-city-us,"POLYGON((-74.3022577557092 40.489044774774776, -73.7096822442908 40.489044774774776, -73.7096822442908 40.93949522522522, -74.3022577557092 40.93949522522522, -74.3022577557092 40.489044774774776))"
3936456,Lima,Lima,"LIM,Lim,Lima,Limae,Limaq,Lime,Limma,Limo,Lioma,Lungsod ng Lima,Lìmma,Líma,Líoma,Lîma,li ma,lima,lyma,lymh,rima,Λίμα,Лимæ,Лима,Лиме,Ліма,Լիմա,לימא,לימה,لىما,ليما,لیما,लिमा,लीमा,লিমা,ਲੀਮਾ,ଲିମା,லிமா,ലിമ,ลิมา,ལི་མ།,ლიმა,ሊማ,リマ,利馬,리마",-12.04318,-77.02824,P,PPLC,PE,,LMA,,,,7737002,,152,America/Lima,2023-10-25,-300,2,lima-pe,"POLYGON((-77.25787184511204 -12.268405225225225, -76.79860815488796 -12.268405225225225, -76.79860815488796 -11.817954774774774, -77.25787184511204 -11.817954774774774, -77.25787184511204 -12.268405225225225))"
3688689,Bogotá,Bogota,"BOG,Bagata,Bogot,Bogota,Bogoto,Bogotà,Bogotá,Boqota,Buoguota,Bógóta,Mponkota,Santa-Fe-de-Bogota,Santafe de Bogota,Santafe de Bogotá,Santafé de Bogotá,Wukuta,beageatta,bo ge da,bogota,bokota,bwghwta,bwgwta,bwgwth,bwjwta,pokotta,Μπογκοτά,Багата,Богота,Боґота,Санта-Фе-де-Богота,Բոգոտա,באגאטא,בוגוטה,بوجوتا,بوغوتا,بوگوتا,بگوٹا,بۆگۆتا,बोगोटा,बोगोता,বোগোতা,ਬੋਗੋਤਾ,ବୋଗୋଟା,பொகோட்டா,ಬೊಗೋಟ,ബൊഗോട്ട,โบโกตา,པོ་གོ་ཏ,ဘိုဂိုတာမြို့,ბოგოტა,ቦጎታ,ទីក្រុងបូកូតា,ボゴタ,波哥大,보고타",4.60971,-74.08175,P,PPLC,CO,,34,11001,,,7674366,,2582,America/Bogota,2024-03-26,-300,2,bogota-co,"POLYGON((-74.30705659915205 4.384484774774775, -73.85644340084795 4.384484774774775, -73.85644340084795 4.834935225225225, -74.30705659915205 4.834935225225225, -74.30705659915205 4.384484774774775))"
3451190,Rio de Janeiro,Rio de Janeiro,"Ciutat de Rio de Janeiro,RIO,Rio,Rio De Janeiro,Rio d Janeiro,Rio de Janeiro,Rio de Janeiru,Rio de Janero,Rio de Janeyro,Rio de Janèro,Rio de Janêro,Rio de Zaneiras,Rio de Zaneiros,Rio de Zaneyro,Rio de Zhaneiro,Rio de Zhanejro,Rio de Žaneiras,Rio dé Janéyro,Rio dė Žaneiros,Rio nte Tzaneiro,Rio-de-Janejro,Rio-de-Janeyro,Rio-de-Zaneiro,Rio-de-Zanejro,Rio-de-Zaneyro,Rio-de-Zhanejro,Rio-de-janeiro,Rio-de-Ĵanejro,Rio-de-Žaneiro,Rio-de-Žaneýro,Riodezaneiro,Riodežaneiro,Riu de Janeiro,Riu de Janeiru,Riviethe de Janvyi,Riviéthe dé Janvyi,Rya-deh-Zhanehjra,Río de Janeiro,Sao Sebastiao do Rio de Janeiro,São Sebastião do Rio de Janeiro,Urbs Fluminensis,iriyo ti ceniro,li yue re nei lu,liudejaneilu,rath ri xode ca ne ro,ri xode ca ne ro,ri'o di janero,ri'o di jeneri'o,ri'o di jeniro,rio-de-zhaneiro,riodejaneiro,rios. dis. djaneiros,riyea di janirea,riyo di janairo,riyo di janero,riyo di jeneriyo,riyo di jenero,riyo di jyaneriyo,ryw dh znyyrw,ryw dw zhanyrw,ryw dwzhanyrw,ryw dy janyrw,Ρίο ντε Τζανέιρο,Рио де Жанеиро,Рио де Жанейро,Рио-де-Жанейро,Рыа-дэ-Жанэйра,Ріо де Жанейро,Ріо-де-Жанейро,Ռիո դե Ժանեյրո,ריא דע זשאנערא,ריו דה זניירו,ريو دى جانيرو,ريو دي جانيرو,ریو دو ژانیرو,ریو دوژانیرو,ریو دے جینیرو,ریو ڈی جینرو,ڕیۆ دێ ژانێرۆ,रियो डि जेनेरो,रियो दि जानेरो,रियो दि ज्यानेरियो,रियो दी जेनेरियो,রিও ডি জেনিরো,রিও দি জেনেরিও,ਰਿਓ ਡੀ ਜਨੇਰੋ,இரியோ டி செனீரோ,ರಿಯೋ ಡಿ ಜನೈರೊ,റിയോ ഡി ജനീറോ,รัฐรีโอเดจาเนโร,รีโอเดจาเนโร,རིའོ་ཌེ་ཇ་ནེའུ་རའོ།,ရီယို ဒီ ဂျီးနေးရိုးမြို့,რიო-დე-ჟანეირო,ሪዮ ዴ ጃኔይሮ,リオデジャネイロ,里約熱內盧,里约热内卢,리우데자네이루",-22.90642,-43.18223,P,PPLA,BR,,21,3304557,,,6747815,,12,America/Sao_Paulo,2024-03-26,-180,2,rio-de-janeiro-br,"POLYGON((-43.42603371636605 -23.131645225225228, -42.938426283633945 -23.131645225225228, -42.938426283633945 -22.681194774774774, -43.42603371636605 -22.681194774774774, -43.42603371636605 -23.131645225225228))"
498817,Saint Petersburg,Saint Petersburg,"Agia Petroupole,Betuyrbukh,Cankt-Peterburg,LED,Leningrad,Leningrado,Lenjingrad,Lungsod ng Sankt-Peterburg,Peterburg,Peterburgo,Peterburi,Petersburg,Petrapilis,Petrograd,Petrogrado,Petrohrad,Petropolis,Petursborg,Pietari,Piiteri,Piter,Pétursborg,SPb,Saint Petersbourg,Saint Petersburg,Saint Pétersbourg,Saint-Petersbourg,Saint-Pétersbourg,San Petersburgo,San Pietroburgo,San Pietruburgu,Sankt Peitersbuerg,Sankt Peterburg,Sankt Peterburgas,Sankt Petersborg,Sankt Petersburg,Sankt Peterzburg,Sankt Péitersbuerg,Sankt-Peterburg,Sankt-Peterburgo,Sankt-Peterburq,Sankt-Petersburg,Sankti Petursborg,Sankti Pétursborg,Sanktpeterburga,Sanktpēterburga,Sant Petersburg,Sant Petersburgo,Sant-Petersbourg,Santa Peterburg,Sao Petersburgo,Sint Petersbork,Sint-Petersburg,St Petersburg,St. Petersburg,St.-Petersburg,Szentpetervar,Szentpétervár,São Petersburgo,leningeuladeu,sangteupeteleubuleukeu,sankt. peterburg,sankutopeteruburuku,sant btrsbrgh,seinteupiteojeubeogeu,sent pi te xrs beirk,senta pitarsabarga,sheng bi de bao,sn ptrzbwrg,snqt ptrbwrg,Αγία Πετρούπολη,Бетъырбух,Ленинград,Петербург,Петроград,Питер,СПб,Санкт Петербург,Санкт Петерзбург,Санкт-Петербург,Սանկտ Պետերբուրգ,סנקט פטרבורג,سانت بطرسبرغ,سن پترزبورگ,সেন্ট পিটার্সবার্গ,เซนต์ปีเตอร์สเบิร์ก,სანკტ-პეტერბურგი,სანქტ-პეტერბურგი,サンクトペテルブルク,圣彼得堡,聖彼得堡,레닌그라드,상트페테르부르크,세인트피터즈버그",59.93863,30.31413,P,PPLA,RU,,66,,,,5351935,,11,Europe/Moscow,2024-03-25,180,2,saint-petersburg-ru,"POLYGON((29.86580589253261 59.71340477477478, 30.762454107467388 59.71340477477478, 30.762454107467388 60.16385522522523, 29.86580589253261 60.16385522522523, 29.86580589253261 59.71340477477478))"
3871336,Santiago,Santiago,"Ciles Santjagas,CiudadSantiago,SCL,Sanctiacobi,Sant'jago,Santiago,Santiago de Chile,Santiago de Xile,Santiago del Cile,Santiago do Chile,Santiago du Chili,Santiago du Ch·ili,Santianko,Santjago,Santjago de Chile,Santjago de Chili,Stgo.,santiago,santixako,santiyago,santyaghw,santyagw,santyyagw,sheng de ya ge,Čilės Santjagas,Σαντιάγκο,Σαντιάγο,Сантьяго,Сантяго де Чиле,Сантяго де Чили,סנטיאגו דה צ'ילה,سانتىياگو,سانتياغو,سانتیاگو,সান্টিয়াগো,ซันติอาโก,სანტიაგო დე ჩილე,ሳንቲያጎ,サンティアゴ,圣地亚哥,聖地亞哥,산티아고",-33.45694,-70.64827,P,PPLC,CL,,12,131,13101,,4837295,,556,America/Santiago,2024-04-01,-240,2,santiago-cl,"POLYGON((-70.91745097704569 -33.682165225225226, -70.3790890229543 -33.682165225225226, -70.3790890229543 -33.23171477477478, -70.91745097704569 -33.23171477477478, -70.91745097704569 -33.682165225225226))"
5368361,Los Angeles,Los Angeles,"Angelopolis,Ciudad De los Angelos,Cuidad De Los Angelos,El Pueblo de Nuestra Senora La Reina de Los Angeles de Porcivncula,El Pueblo de Nuestra Senora de los Angeles de Porciuncula,El Pueblo de Nuestra Señora de los Ángeles de Porciúncula,El Pueblo del Rio de Nuestra Senora,L.A.,LA,LAX,La Reina de Los Angeles de Porciuncula,Lok-chham-ki,Los And'eles,Los Andzelas,Los Andzeles,Los Andzheles,Los Andzhelis,Los Andželas,Los Andželes,Los Angeles,Los Anjeles,Los Anjélés,Los Antzeles,Los Anxheles,Los Anxhelos,Los Anzeles,Los Anzheles,Los Ángeles,Los-Anceles,Los-Andzeles,Los-Andzhehles,Los-Andzheles,Los-Angeleso,Los-Anjeles,Los-Anzheles,Los-Anzheles shaary,Los-Anĝeleso,Losandzelosa,Losandželosa,Lo̍k-chhám-kî,Lungsod ng Los Angeles,Luos Andzels,Luos Andžels,Os Anxeles,Os Ánxeles,Pueblo De Los Angeles,Pueblo Los Angelos,el-ei,las aynjls,las encalas,las enjales,las enjalis,lasa ainjalasa,lasa enjalasa,lasa enjilasa,leas anceles,los-anjelesi,losa enjelasa,losa enjelisa,losa enjelsa,loseuaenjelleseu,loseuenjelleseu,ls anjls,luo shan ji,lws anjls,lws anjlws,lws anjlys,lws ʼngls,lxs xæ n ce lis,rosanzerusu,Λος Άντζελες,Лос Анджелес,Лос Анджелис,Лос Андьелес,Лос Анжелес,Лос Анђелес,Лос Анџелес,Лос Анҷелес,Лос Анӂелес,Лос-Анджелес,Лос-Анджэлес,Лос-Анжелес,Лос-Анжелес шаары,Лос-Анџелес,Լոս Անջելես,לאס אנדזשעלעס,לוס אנגלס,لاس اینجلس,لس آنجلس,لس‌آنجلس,لوس آنجلس,لوس أنجلوس,لوس ئانجېلېس,لوس انجليس,لوس‌آنجلس,لۆس ئانجلەس,लस एञ्जिलस,लस एन्जलस,लास एंजलस,लॉस एंजेलिस,लॉस एंजेल्स,লস অ্যাঞ্জেলেস,ਲਾਸ ਐਂਜਲਸ,લોસ એન્જેલસ,லாஸ் ஏஞ்சலஸ்,లాస్ ఏంజలెస్,ಲಾಸ್ ಎಂಜಲೀಸ್,ലോസ് ആഞ്ചെലെസ്,ลอสแอนเจลิส,လော့စ်အိန်ဂျယ်လိစ်မြို့,ლოს-ანჯელესი,ሎስ አንጄሌስ,ロサンゼルス,洛杉矶,洛杉磯,로스앤젤레스,로스엔젤레스,엘에이",34.05223,-118.24368,P,PPLA2,US,,CA,037,,,3820914,89.0,96,America/Los_Angeles,2025-04-14,-420,2,los-angeles-us,"POLYGON((-118.51473654337615 33.82700477477478, -117.97262345662385 33.82700477477478, -117.97262345662385 34.277455225225225, -118.51473654337615 34.277455225225225, -118.51473654337615 33.82700477477478))"
323786,Ankara,Ankara,"ANK,Anakara,Ancara,Ancyra,Ang-ka-la,Angkara,Angora,Anguriyah,Ankar,Ankara,Ankara khot,Ankaro,Ankuara,Ankura,Ankyra,Ankyra (Ankyra),Anqara,Enguri,Engüri,Enqere,akara,an ka la,angkala,ankara,anqrh,anqrt,xangkara,Ăng-kā-lá,Άγκυρα (Ankyra),Анкара,Анкара хот,Анкъара,Әнкара,Անկարա,אנקארא,אנקרה,آنکارا,أنقرة,ئەنقەرە,انقره,انقرہ,انکرہ,ܐܢܩܪܐ,अंकारा,আঙ্কারা,ਅੰਕਾਰਾ,ଆଙ୍କାରା,அங்காரா,అంకారా,ಅಂಕಾರಾ,അങ്കാറ,อังการา,ཨན་ཁ་ར།,ანკარა,አንካራ,アンカラ,安卡拉,앙카라",39.91987,32.85427,P,PPLC,TR,,68,,,,3517182,850.0,874,Europe/Istanbul,2024-03-27,180,2,ankara-tr,"POLYGON((32.561447853663374 39.69464477477478, 33.147092146336625 39.69464477477478, 33.147092146336625 40.145095225225226, 32.561447853663374 40.145095225225226, 32.561447853663374 39.69464477477478))"
2950159,Berlin,Berlin,"BER,Beirlin,Beirlín,Belin,Berleno,Berlien,Berliin,Berliini,Berlijn,Berlim,Berlin,Berline,Berlini,Berlino,Berlyn,Berlynas,Berlëno,Berlín,Berlîn,Berlīne,Berolino,Berolinum,Birlinu,Bèrlîn,Estat de Berlin,Estat de Berlín,bai lin,barlina,beleullin,berlini,berurin,bexrlin,brlyn,perlin,Βερολίνο,Берлин,Берлін,Бэрлін,Բերլին,בערלין,ברלין,برلين,برلین,بېرلىن,ܒܪܠܝܢ,बर्लिन,বার্লিন,பெர்லின்,เบอร์ลิน,ბერლინი,ベルリン,柏林,베를린",52.52437,13.41053,P,PPLC,DE,,16,00,11000,11000000,3426354,74.0,43,Europe/Berlin,2024-04-21,120,2,berlin-de,"POLYGON((13.041415995647986 52.299144774774774, 13.779644004352013 52.299144774774774, 13.779644004352013 52.74959522522522, 13.041415995647986 52.74959522522522, 13.041415995647986 52.299144774774774))"
3117735,Madrid,Madrid,"La Villa y Corte de Madrid,Los Madriles,Lungsod ng Madrid,MAD,Ma-daik-li,Ma-tet-li,Madrid,Madrid osh,Madridas,Madride,Madridi,Madrido,Madrids,Madril,Madrit,Madrite,Madryd,Madryt,Madríd,Madrîd,Magerit,Maidrid,Mairil,Makelika,Matritum,Mâ-tet-lî,Mā-dáik-lī,ma de li,madarida,madeulideu,madorido,madorido shi,madri,madrid,madrida,madridi,madryd,matrit,mdryd,myadrida,mydrd,Μαδρίτη,Мaдрид,Мадрид,Мадрид ош,Мадрыд,Мадрід,Մադրիդ,מאדריד,מדריד,مادرىد,مادرید,مدريد,میدرد,مەدرید,ܡܕܪܝܕ,मद्रिद,मद्रिद्,माद्रिद,माद्री,म्याड्रिड,মাদ্রিদ,ਮਾਦਰੀਦ,ମାଡ୍ରିଦ,மத்ரித்,ಮಡ್ರಿಡ್,മാഡ്രിഡ്,มาดริด,མ་ད་རིད།,မဒရစ်မြို့,მადრიდი,ማድሪድ,マドリード,マドリード市,馬德里,马德里,마드리드",40.4165,-3.70256,P,PPLC,ES,,29,M,28079,,3255944,,665,Europe/Madrid,2025-03-09,120,2,madrid-es,"POLYGON((-3.9975324997677033 40.191274774774776, -3.407587500232297 40.191274774774776, -3.407587500232297 40.64172522522522, -3.9975324997677033 40.64172522522522, -3.9975324997677033 40.191274774774776))"
750269,Bursa,Bursa,"Boursa,Brossa,Broussa,Brousse,Brusa,Brussa,Burs,Bursa,Bursae,Burso,Prousa,YEI,bu er sa,buleusa,bur sa,bursa,burusa,bwrsa,bwrsh,bwrst,Προύσα,Бурсæ,Бурса,Бурсо,בורסה,برصہ,بورسا,بورصة,بورصه,بورصہ,بۇرسا,बुर्सा,บูร์ซา,ბურსა,ブルサ,布尔萨,부르사",40.19559,29.06013,P,PPLA,TR,,16,7732338,,,3101833,,155,Europe/Istanbul,2023-03-01,180,2,bursa-tr,"POLYGON((28.7661206316131 39.97036477477478, 29.354139368386903 39.97036477477478, 29.354139368386903 40.420815225225226, 28.7661206316131 40.420815225225226, 28.7661206316131 39.97036477477478))"
3646738,Caracas,Caracas,"CCS,Caracae,Caracas,Caraques,Karakas,Karakasa,Karakasas,Karakaso,ka la ka si,ka raka s,kalakaseu,karakas,karakasa,karakasu,karakkas,kraks,Καράκας,Каракас,Կարակաս,קאראקאס,קראקס,كاراكاس,کاراکاس,کراکس,काराकास,কারাকাস,ਕਾਰਾਕਾਸ,કારાકાસ,କାରାକାସ,கரகஸ்,ಕರಾಕಸ್,കാരക്കാസ്,การากัส,ཁ་ར་ཁ་སི,ကရာကက်စ်မြို့,კარაკასი,ካራካስ,カラカス,卡拉卡斯,카라카스",10.48801,-66.87919,P,PPLC,VE,,25,0101,,,3000000,,887,America/Caracas,2022-03-09,-240,2,caracas-ve,"POLYGON((-67.10758356003392 10.262784774774774, -66.65079643996607 10.262784774774774, -66.65079643996607 10.713235225225224, -67.10758356003392 10.713235225225224, -67.10758356003392 10.262784774774774))"
